,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
47,EZYV48,Asia,High School,Y,N,226,1991,Midwest,156251.17,Year,Y,Certified
48,EZYV49,Asia,Bachelor's,Y,N,2405,1933,South,86022.02,Year,Y,Certified
49,EZYV50,Asia,Doctorate,N,Y,2171,1960,Northeast,49565.37,Year,Y,Denied
50,EZYV51,Asia,Bachelor's,N,N,746,1991,Midwest,66191.41,Year,Y,Certified
51,EZYV52,Asia,Master's,Y,N,3129,2003,Midwest,95623.2,Year,N,Certified
52,EZYV53,Asia,Bachelor's,N,N,1647,1998,Midwest,115014.05,Year,Y,Certified
53,EZYV54,Asia,High School,Y,N,2438,1976,Midwest,35018.04,Year,Y,Certified
54,EZYV55,Asia,Master's,Y,N,11733,1995,Northeast,230.8072,Hour,Y,Certified
55,EZYV56,Asia,Master's,Y,N,2368,1998,Northeast,113799.64,Year,Y,Certified
56,EZYV57,Europe,Bachelor's,Y,Y,779,1994,West,85854.09,Year,Y,Certified
57,EZYV58,Asia,Bachelor's,Y,N,2825,1996,Northeast,14174.04,Year,Y,Certified
58,EZYV59,Europe,Bachelor's,N,N,3510,2007,West,47176.84,Year,Y,Certified
59,EZYV60,Asia,Doctorate,N,N,2624,2012,Midwest,4949.28,Year,Y,Certified
60,EZYV61,Asia,Master's,N,Y,5340,2010,West,67410.59,Year,Y,Denied
61,EZYV62,Europe,Doctorate,Y,Y,2311,1994,Midwest,58791.58,Year,Y,Certified
62,EZYV63,Asia,High School,N,N,5110,2004,West,103.2216,Hour,Y,Denied
63,EZYV64,Europe,Bachelor's,Y,N,1316,1995,South,62591.57,Year,Y,Certified
64,EZYV65,Asia,Master's,N,N,100,2001,Northeast,102919.59,Year,Y,Denied
65,EZYV66,Asia,Master's,Y,N,2021,2007,Midwest,123468.56,Year,Y,Certified
66,EZYV67,North America,Bachelor's,N,N,80,1968,West,82324.64,Year,N,Denied
67,EZYV68,Europe,Doctorate,Y,N,2070,1847,West,5319.49,Year,Y,Certified
68,EZYV69,Asia,Bachelor's,Y,Y,2654,2013,Midwest,153019.94,Year,Y,Certified
69,EZYV70,Asia,Master's,Y,N,292,2005,South,38059.89,Year,Y,Certified
70,EZYV71,Asia,High School,Y,N,1320,2001,Northeast,230.327,Hour,Y,Denied
71,EZYV72,Asia,High School,Y,N,1722,2007,South,61521.92,Year,Y,Certified
72,EZYV73,Europe,Bachelor's,Y,N,3339,1935,Northeast,121316.5,Year,Y,Denied
73,EZYV74,Asia,Master's,Y,N,452,1890,South,122540.55,Year,Y,Certified
74,EZYV75,Africa,Master's,Y,N,3705,2001,South,47170.76,Year,Y,Certified
75,EZYV76,North America,Bachelor's,N,N,85,1999,Northeast,330.3743,Hour,Y,Denied
76,EZYV77,Europe,Bachelor's,Y,N,2423,1838,West,2927.34,Year,Y,Certified
77,EZYV78,Asia,Bachelor's,Y,N,1274,1999,South,107781.48,Year,Y,Certified
78,EZYV79,North America,Master's,N,N,1549,2001,South,590.0203,Hour,Y,Certified
79,EZYV80,Asia,High School,N,Y,1062,1998,West,194176.83,Year,Y,Denied
80,EZYV81,Asia,Bachelor's,Y,N,32619,1947,South,102073.81,Year,Y,Certified
81,EZYV82,Asia,Master's,Y,N,4036,2001,South,113882.38,Year,Y,Certified
82,EZYV83,Asia,High School,Y,N,39,2000,West,70778.82,Year,Y,Denied
83,EZYV84,Asia,Bachelor's,Y,N,2359,2007,Northeast,84125.48,Year,Y,Certified
84,EZYV85,Asia,Master's,Y,Y,1023,2002,South,174014.59,Year,Y,Certified
85,EZYV86,Asia,Master's,Y,N,2480,1981,Northeast,34213.17,Year,Y,Certified
86,EZYV87,Asia,High School,N,N,1255,1989,Northeast,79813.05,Year,N,Denied
87,EZYV88,Asia,High School,Y,N,4455,1998,West,113327.34,Year,Y,Denied
88,EZYV89,Asia,Bachelor's,N,N,2543,1939,Northeast,78893.64,Year,Y,Denied
89,EZYV90,Asia,Bachelor's,Y,N,1359,2008,West,140290.16,Year,Y,Certified
90,EZYV91,Asia,High School,Y,Y,2324,2006,Northeast,111926.01,Year,Y,Denied
91,EZYV92,North America,Bachelor's,N,N,4103,2004,Northeast,125880.21,Year,Y,Denied
92,EZYV93,Asia,Bachelor's,N,N,3667,1970,Northeast,527.8901,Hour,Y,Denied
93,EZYV94,Asia,High School,N,N,488,2010,Midwest,49357.95,Year,Y,Certified
94,EZYV95,North America,Bachelor's,Y,N,2724,1998,South,69335.2,Year,Y,Certified
95,EZYV96,Asia,Master's,N,N,1392,2001,South,99737.18,Year,N,Certified
96,EZYV97,North America,Bachelor's,Y,N,2573,1977,Northeast,91449.62,Year,Y,Denied
97,EZYV98,North America,Bachelor's,Y,N,3524,1982,Midwest,34494.86,Year,Y,Certified
98,EZYV99,Asia,High School,N,N,1847,1977,Northeast,395.995,Hour,Y,Denied
99,EZYV100,Asia,Master's,N,N,107535,1970,West,159645.51,Year,Y,Denied
100,EZYV101,Asia,Master's,Y,N,2227,2007,Northeast,28243.79,Year,Y,Certified
101,EZYV102,Asia,Master's,Y,N,334,2007,Midwest,43421.88,Year,Y,Certified
102,EZYV103,Asia,Bachelor's,Y,N,224,2008,Midwest,80253.78,Year,Y,Certified
103,EZYV104,Asia,Doctorate,Y,N,367,1982,West,115235.95,Year,Y,Certified
104,EZYV105,Asia,Master's,Y,N,306,2003,Northeast,95200.86,Year,N,Certified
105,EZYV106,North America,Doctorate,Y,N,2317,1995,Island,41613.52,Year,Y,Certified
106,EZYV107,Asia,Bachelor's,N,N,890,1981,West,64137.41,Year,Y,Denied
107,EZYV108,Asia,Bachelor's,Y,N,2002,2006,South,66295.43,Year,Y,Certified
108,EZYV109,Asia,Bachelor's,N,N,2903,1943,Midwest,97520.02,Year,Y,Certified
109,EZYV110,Asia,Bachelor's,Y,N,2504,2001,West,65164.57,Year,Y,Certified
110,EZYV111,North America,High School,Y,N,951,1956,Midwest,73957.17,Year,N,Certified
111,EZYV112,Asia,Master's,Y,N,1327,1864,West,71415.43,Year,Y,Certified
112,EZYV113,Asia,Bachelor's,Y,N,2421,1974,South,87336.53,Year,Y,Certified
113,EZYV114,North America,High School,Y,N,1019,2005,South,98966.72,Week,Y,Certified
114,EZYV115,Asia,Doctorate,N,N,1048,1985,Midwest,83503.6,Year,Y,Certified
115,EZYV116,Asia,Master's,N,N,3323,2005,Midwest,57590.66,Year,Y,Certified
116,EZYV117,Asia,Bachelor's,Y,N,509,1997,South,32400.2,Week,Y,Certified
117,EZYV118,North America,Master's,Y,Y,2225,1976,Northeast,65993.21,Year,Y,Certified
118,EZYV119,Asia,Bachelor's,Y,N,1641,1984,Midwest,32161.6,Year,Y,Certified
119,EZYV120,Asia,Master's,N,N,1144,2001,Northeast,16421.37,Year,Y,Denied
120,EZYV121,North America,Master's,N,N,2334,1971,South,160676.39,Year,N,Certified
121,EZYV122,South America,Bachelor's,N,N,1415,1913,Northeast,53114.02,Year,Y,Denied
122,EZYV123,Asia,Doctorate,Y,Y,2754,1997,South,19176.21,Year,Y,Certified
123,EZYV124,North America,Master's,N,N,1099,2005,West,204832.52,Year,N,Denied
124,EZYV125,Asia,Master's,Y,N,960,2012,Northeast,40256.03,Year,Y,Certified
125,EZYV126,North America,Master's,Y,N,2750,1997,West,38841.44,Year,Y,Certified
126,EZYV127,Asia,High School,Y,N,2753,2010,Northeast,133052.84,Year,Y,Denied
127,EZYV128,North America,Bachelor's,Y,N,23287,2007,South,75234.64,Year,N,Certified
128,EZYV129,Asia,Bachelor's,N,N,2140,1997,South,37032.83,Year,Y,Certified
129,EZYV130,Asia,Bachelor's,N,N,4499,2008,Northeast,61617.73,Year,Y,Denied
130,EZYV131,South America,High School,N,N,2554,2005,Midwest,247393.01,Year,Y,Certified
131,EZYV132,Asia,Bachelor's,Y,N,1333,1969,Northeast,341.0229,Hour,Y,Certified
132,EZYV133,Asia,Doctorate,N,N,928,1818,South,30570.95,Year,Y,Certified
133,EZYV134,Asia,Doctorate,Y,N,4289,2005,Midwest,19477.1,Year,Y,Certified
134,EZYV135,Asia,Doctorate,Y,Y,113282,2011,Midwest,164893.0,Year,Y,Certified
135,EZYV136,Asia,Master's,Y,N,1948,2002,South,131584.5,Year,Y,Certified
136,EZYV137,Asia,Master's,Y,N,1933,1839,Northeast,63896.35,Year,Y,Certified
137,EZYV138,Asia,Master's,N,N,2847,2013,Midwest,77883.22,Year,Y,Certified
138,EZYV139,Asia,Bachelor's,Y,N,1195,1914,Midwest,108519.14,Year,Y,Certified
139,EZYV140,Asia,Master's,Y,N,54,1988,South,47002.53,Year,N,Certified
140,EZYV141,Asia,Master's,N,N,4390,1944,South,88720.29,Year,N,Certified
141,EZYV142,Asia,Master's,Y,N,73909,2004,Midwest,60821.75,Year,Y,Certified
142,EZYV143,Asia,Master's,N,Y,545,1855,South,66324.69,Year,Y,Certified
143,EZYV144,Asia,Doctorate,Y,N,2831,1977,South,100398.58,Year,Y,Certified
144,EZYV145,Asia,Bachelor's,N,Y,1634,1999,South,51282.75,Year,Y,Certified
145,EZYV146,Europe,Bachelor's,Y,N,1810,1943,South,13322.72,Year,Y,Certified
146,EZYV147,Europe,Bachelor's,Y,N,3290,2005,Northeast,357.8194,Hour,Y,Certified
147,EZYV148,Asia,Master's,Y,N,472,2004,West,4787.43,Year,Y,Certified
148,EZYV149,Asia,Bachelor's,Y,N,4273,1884,Midwest,149023.92,Year,Y,Certified
149,EZYV150,Asia,Master's,N,N,2326,1933,West,123739.41,Year,Y,Denied
150,EZYV151,Asia,Bachelor's,N,N,50351,1975,West,529.1105,Hour,Y,Denied
151,EZYV152,Europe,Master's,Y,N,2261,1966,Midwest,68933.4,Year,Y,Certified
152,EZYV153,Asia,High School,Y,N,255,2003,Northeast,412.3476,Hour,Y,Denied
153,EZYV154,Asia,Master's,Y,N,373,2009,South,128931.59,Year,N,Certified
154,EZYV155,Europe,High School,Y,Y,22,1999,Midwest,37751.51,Year,Y,Certified
155,EZYV156,Asia,Doctorate,Y,Y,3102,2001,West,81781.43,Year,Y,Certified
156,EZYV157,Asia,Master's,Y,N,5147,1997,Northeast,6256.18,Year,Y,Certified
157,EZYV158,Asia,Doctorate,Y,N,284,2007,Northeast,44539.97,Year,Y,Certified
158,EZYV159,North America,Master's,Y,N,1926,1801,West,104281.71,Year,Y,Certified
159,EZYV160,Asia,High School,Y,N,2510,1920,Midwest,125323.7,Year,Y,Certified
160,EZYV161,Europe,Doctorate,Y,Y,1200,2013,Midwest,81816.46,Year,Y,Certified
161,EZYV162,Europe,Bachelor's,Y,N,337,2004,West,4027.85,Year,Y,Certified
162,EZYV163,North America,Doctorate,Y,N,2880,1925,South,56117.39,Year,N,Certified
163,EZYV164,Asia,Bachelor's,Y,N,816,1947,South,113212.16,Year,Y,Certified
164,EZYV165,Asia,Master's,Y,N,2640,2009,West,47095.57,Year,Y,Certified
165,EZYV166,Asia,Master's,Y,N,4190,2006,South,123437.12,Year,N,Certified
166,EZYV167,Asia,Bachelor's,Y,N,459,1998,Northeast,65894.51,Year,Y,Certified
167,EZYV168,Asia,High School,Y,N,3351,1993,Northeast,174333.19,Year,Y,Denied
168,EZYV169,Asia,Bachelor's,N,N,3639,1988,Northeast,192.157,Hour,Y,Denied
169,EZYV170,Asia,Master's,N,N,373,1992,West,71825.63,Week,Y,Denied
170,EZYV171,Europe,Bachelor's,N,N,201,1982,South,50362.77,Year,Y,Certified
171,EZYV172,South America,Bachelor's,Y,N,5461,1979,Northeast,9078.62,Year,Y,Certified
172,EZYV173,Asia,Master's,Y,N,3050,1993,Northeast,10341.89,Year,Y,Certified
173,EZYV174,Asia,Bachelor's,Y,N,28592,1997,West,61740.3,Year,Y,Certified
174,EZYV175,Europe,Bachelor's,Y,N,3207,1995,Midwest,61031.95,Year,Y,Certified
175,EZYV176,Asia,Doctorate,Y,N,5820,1998,South,31986.79,Year,Y,Certified
176,EZYV177,North America,Bachelor's,Y,Y,3229,1999,South,93384.38,Year,Y,Certified
177,EZYV178,Asia,Bachelor's,Y,N,2708,2010,Northeast,109921.68,Year,Y,Certified
178,EZYV179,Asia,Doctorate,N,Y,2779,2002,Midwest,122535.0,Year,Y,Certified
179,EZYV180,Asia,High School,Y,N,977,1986,Northeast,105898.54,Year,Y,Denied
180,EZYV181,Europe,Bachelor's,Y,Y,44069,2006,West,134350.49,Year,Y,Certified
181,EZYV182,Europe,Bachelor's,Y,N,1566,1931,South,126498.81,Year,Y,Certified
182,EZYV183,Europe,Master's,N,Y,4439,1962,South,113366.37,Year,Y,Certified
183,EZYV184,Asia,Master's,N,N,1929,2001,Midwest,100401.52,Year,Y,Certified
184,EZYV185,Asia,Bachelor's,N,N,654,1954,Northeast,128173.92,Year,Y,Denied
185,EZYV186,Asia,High School,Y,Y,557,2010,Northeast,313.835,Hour,Y,Denied
186,EZYV187,Asia,Bachelor's,N,N,421,2005,Midwest,88809.74,Year,Y,Certified
187,EZYV188,Europe,High School,Y,N,600,2009,Northeast,138032.0,Year,Y,Denied
188,EZYV189,South America,Master's,Y,N,1551,1989,West,630.66,Year,Y,Certified
189,EZYV190,Europe,Doctorate,Y,N,2540,2003,Midwest,29469.17,Year,Y,Certified
190,EZYV191,Asia,Bachelor's,Y,N,961,2007,West,123688.79,Year,Y,Certified
191,EZYV192,Asia,Doctorate,Y,N,3726,1884,Northeast,111179.86,Year,N,Certified
192,EZYV193,North America,Master's,Y,N,4045,1987,West,102909.59,Year,N,Certified
193,EZYV194,Asia,Master's,Y,N,128431,1991,West,128850.75,Year,Y,Certified
194,EZYV195,Africa,Master's,Y,N,2180,1992,Midwest,113637.4,Year,Y,Certified
195,EZYV196,Asia,Bachelor's,N,N,872,1991,Northeast,179675.58,Year,Y,Denied
196,EZYV197,Europe,Master's,N,N,2689,1998,South,15814.94,Year,Y,Certified
197,EZYV198,Europe,Master's,N,Y,2752,2006,South,21511.58,Year,Y,Certified
198,EZYV199,Asia,Master's,N,N,1375,1976,South,94252.62,Year,N,Certified
199,EZYV200,Europe,Master's,Y,N,7320,1868,Northeast,89207.07,Year,Y,Certified
200,EZYV201,Asia,Doctorate,Y,N,3282,1979,West,74441.11,Year,Y,Certified
201,EZYV202,Asia,Bachelor's,Y,N,1313,2002,West,99469.71,Year,Y,Certified
202,EZYV203,Asia,Bachelor's,Y,N,3128,1999,West,31890.66,Year,Y,Certified
203,EZYV204,Asia,Master's,N,N,4757,1981,Midwest,167376.13,Year,Y,Certified
204,EZYV205,Asia,High School,Y,N,2122,1859,Midwest,130404.72,Year,Y,Certified
205,EZYV206,Asia,High School,Y,N,2524,1946,West,84130.53,Year,Y,Denied
206,EZYV207,Europe,Doctorate,Y,N,766,1950,Midwest,89079.05,Year,Y,Certified
207,EZYV208,Asia,High School,N,N,1190,2003,South,82464.74,Year,Y,Certified
208,EZYV209,North America,High School,N,N,2741,2005,Northeast,158.3807,Hour,Y,Denied
209,EZYV210,Asia,Master's,N,N,3233,2012,South,62640.94,Year,N,Certified
210,EZYV211,Asia,Master's,Y,N,2696,1966,Island,116642.18,Year,N,Certified
211,EZYV212,Asia,Master's,Y,N,3980,1869,South,53767.37,Year,Y,Certified
212,EZYV213,Asia,Doctorate,N,Y,111,2008,Northeast,115777.03,Year,Y,Denied
213,EZYV214,North America,Master's,N,N,5396,1963,South,101399.51,Year,N,Certified
214,EZYV215,Asia,Bachelor's,N,N,2778,2000,Northeast,146374.48,Year,Y,Denied
215,EZYV216,Europe,Bachelor's,N,Y,789,1925,Midwest,21282.82,Year,Y,Certified
216,EZYV217,Asia,Master's,Y,N,1515,2001,Midwest,269321.68,Year,N,Certified
217,EZYV218,North America,Bachelor's,Y,N,26891,1917,Northeast,52114.54,Year,Y,Denied
218,EZYV219,Europe,Bachelor's,N,N,1867,1933,Northeast,2390.74,Year,Y,Certified
219,EZYV220,Europe,Master's,Y,N,3395,2008,South,73623.94,Year,Y,Certified
220,EZYV221,Asia,Bachelor's,Y,N,879,1996,Midwest,141796.39,Month,Y,Certified
221,EZYV222,North America,Doctorate,Y,Y,2518,2010,South,219529.62,Year,Y,Certified
222,EZYV223,Europe,Doctorate,N,N,2468,1991,West,195404.0,Year,Y,Certified
223,EZYV224,Europe,Bachelor's,N,N,787,1913,Northeast,158569.72,Year,N,Denied
224,EZYV225,South America,Bachelor's,N,N,1004,1960,Midwest,135792.52,Year,Y,Certified
225,EZYV226,Asia,Bachelor's,Y,N,717,1998,Northeast,100379.63,Year,Y,Certified
226,EZYV227,North America,Master's,N,N,20,1997,Midwest,138925.72,Year,N,Certified
227,EZYV228,Asia,High School,Y,N,503,1998,Midwest,118458.61,Year,Y,Certified
228,EZYV229,Asia,High School,Y,N,584,1968,West,688.1266,Hour,Y,Denied
229,EZYV230,Asia,Master's,N,N,2770,1997,South,112028.45,Year,N,Certified
230,EZYV231,North America,High School,N,N,284,1982,West,808.582,Hour,Y,Denied
231,EZYV232,Asia,Master's,Y,N,1935,1989,Northeast,112881.33,Year,Y,Certified
232,EZYV233,Asia,Doctorate,Y,N,2098,2010,South,7794.05,Year,Y,Certified
233,EZYV234,Asia,Bachelor's,Y,N,3223,1997,South,7113.47,Year,Y,Certified
234,EZYV235,Europe,Bachelor's,N,N,2771,1975,West,100786.62,Year,Y,Certified
235,EZYV236,North America,High School,N,N,2147,1986,West,87390.54,Year,Y,Denied
236,EZYV237,Asia,Bachelor's,N,N,2543,2014,West,93644.17,Year,Y,Denied
237,EZYV238,North America,Master's,N,N,155999,2003,West,118555.6,Year,Y,Denied
238,EZYV239,Asia,Master's,N,N,3592,1950,West,114512.69,Year,Y,Denied
239,EZYV240,Europe,Master's,Y,N,5504,1996,South,59125.18,Year,Y,Certified
240,EZYV241,Europe,High School,Y,N,2216,2000,Northeast,26325.98,Year,Y,Denied
241,EZYV242,Oceania,Doctorate,Y,N,2871,2009,South,56606.54,Month,Y,Certified
242,EZYV243,Africa,Bachelor's,N,Y,2509,2003,West,51886.04,Year,Y,Denied
243,EZYV244,North America,Master's,N,N,1720,1995,Northeast,62112.22,Week,Y,Denied
244,EZYV245,Europe,Doctorate,Y,N,1760,1997,South,63108.03,Year,Y,Certified
245,EZYV246,Europe,Master's,N,N,-25,1980,Northeast,39452.99,Year,Y,Certified
246,EZYV247,Europe,Doctorate,Y,Y,1025,2005,Northeast,80580.97,Year,Y,Certified
247,EZYV248,Europe,Doctorate,N,N,109,2008,South,37291.82,Year,Y,Certified
248,EZYV249,North America,Master's,Y,N,2901,1971,Northeast,95974.61,Year,Y,Certified
249,EZYV250,Asia,High School,Y,N,4449,1963,Northeast,21846.43,Year,Y,Denied
250,EZYV251,Asia,Master's,Y,N,4280,2004,Northeast,61147.07,Year,Y,Certified
251,EZYV252,Europe,Doctorate,N,Y,2223,2013,West,120148.75,Year,Y,Certified
252,EZYV253,Asia,Bachelor's,Y,N,1667,2007,South,206941.23,Year,N,Certified
253,EZYV254,Europe,Master's,Y,N,5260,1994,West,91689.54,Year,Y,Certified
254,EZYV255,Asia,Master's,N,N,365,1896,Northeast,76214.85,Year,Y,Denied
255,EZYV256,Europe,High School,N,N,1243,1998,West,65458.88,Year,Y,Denied
256,EZYV257,Asia,Master's,Y,N,1721,2009,South,62730.52,Year,Y,Certified
257,EZYV258,Asia,Bachelor's,Y,N,517,1949,South,21651.43,Year,Y,Certified
258,EZYV259,Asia,Bachelor's,N,N,3266,2007,Midwest,102598.35,Year,Y,Certified
259,EZYV260,Asia,Bachelor's,Y,N,955,1998,West,56422.81,Year,Y,Certified
260,EZYV261,Asia,Bachelor's,N,N,1310,2007,South,141372.27,Year,Y,Certified
261,EZYV262,Asia,Master's,N,Y,2854,1843,Northeast,138642.17,Year,Y,Denied
262,EZYV263,Asia,Bachelor's,Y,N,230,1925,Midwest,143628.65,Year,Y,Certified
263,EZYV264,Asia,Master's,N,N,2374,2006,Midwest,35760.36,Year,Y,Certified
264,EZYV265,Asia,Master's,N,N,4241,1998,Northeast,3456.8,Year,Y,Denied
265,EZYV266,South America,High School,Y,N,69469,1974,South,42469.25,Year,Y,Certified
266,EZYV267,Asia,Bachelor's,N,N,5425,1855,Northeast,45614.3,Year,Y,Denied
267,EZYV268,North America,Master's,Y,N,2733,1960,West,108458.31,Year,Y,Certified
268,EZYV269,Asia,Master's,Y,N,3664,1931,West,62950.34,Year,Y,Certified
269,EZYV270,Asia,Bachelor's,N,Y,1546,1850,South,162990.52,Year,Y,Certified
270,EZYV271,Asia,Master's,Y,N,2486,1906,South,84521.88,Year,Y,Certified
271,EZYV272,North America,Master's,Y,N,1233,2001,South,141129.7,Year,N,Certified
272,EZYV273,Asia,High School,N,N,1681,1999,West,85218.35,Year,Y,Denied
273,EZYV274,Africa,Master's,N,N,1608,2009,West,118.84,Hour,Y,Denied
274,EZYV275,Asia,Master's,N,N,4349,1998,West,154428.88,Year,N,Denied
275,EZYV276,Asia,Bachelor's,Y,N,1764,1961,South,65108.59,Year,Y,Certified
276,EZYV277,Asia,Bachelor's,Y,Y,4440,1998,South,21001.69,Year,Y,Certified
277,EZYV278,Asia,High School,N,N,769,1951,South,57370.96,Year,Y,Certified
278,EZYV279,Asia,Master's,N,N,2443,1958,Midwest,99714.22,Year,Y,Certified
279,EZYV280,Asia,High School,N,N,3725,2009,Midwest,139424.83,Year,Y,Certified
280,EZYV281,Asia,Bachelor's,N,N,2061,1995,West,20951.91,Year,Y,Denied
281,EZYV282,Asia,Master's,Y,N,216,1909,Midwest,66329.37,Year,Y,Certified
282,EZYV283,Europe,Bachelor's,Y,N,3489,2007,South,88447.6,Year,Y,Certified
283,EZYV284,North America,Bachelor's,N,Y,433,1912,West,123018.45,Year,Y,Denied
284,EZYV285,Asia,Bachelor's,Y,N,1932,1989,South,165.2722,Hour,Y,Certified
285,EZYV286,North America,Master's,Y,N,572,1847,Northeast,12800.02,Year,Y,Certified
286,EZYV287,Europe,Master's,Y,N,306,1975,South,103390.44,Year,N,Certified
287,EZYV288,Europe,Bachelor's,N,N,623,2007,Northeast,25419.59,Year,Y,Certified
288,EZYV289,Oceania,Bachelor's,N,N,2288,2011,West,82385.6,Year,Y,Denied
289,EZYV290,Asia,Master's,N,Y,3370,2007,West,42761.33,Year,Y,Denied
290,EZYV291,Asia,Master's,N,N,875,1983,Midwest,98119.94,Year,Y,Certified
291,EZYV292,North America,Bachelor's,N,N,2586,1997,West,2007.26,Year,Y,Denied
292,EZYV293,Asia,Bachelor's,N,N,661,2006,Midwest,84899.65,Year,Y,Certified
293,EZYV294,Asia,Bachelor's,N,N,2337,1996,South,26813.7,Year,Y,Certified
294,EZYV295,Asia,Bachelor's,N,N,1672,1998,South,367.31,Year,Y,Certified
295,EZYV296,Asia,Master's,Y,N,717,1948,South,116370.47,Year,Y,Certified
296,EZYV297,Europe,Bachelor's,Y,N,1017,1975,South,32086.09,Year,Y,Certified
297,EZYV298,Asia,High School,N,N,1624,2000,West,205084.59,Year,Y,Denied
298,EZYV299,Asia,Bachelor's,N,Y,3891,1931,South,45860.87,Year,Y,Certified
299,EZYV300,Asia,Master's,Y,Y,2009,2005,West,69741.05,Year,Y,Certified
300,EZYV301,Asia,Master's,Y,N,3268,2012,Midwest,101371.21,Year,Y,Certified
301,EZYV302,Asia,Master's,N,N,1312,1998,South,93644.47,Year,Y,Certified
